GameDate, GameID, Visitor, Home
2026-02-04,0022500729,NOP,MIL
2026-02-04,0022500730,OKC,SAS
2026-02-04,0022500731,MEM,SAC
2026-02-04,0022500732,CLE,LAC
2026-02-05,0022500733,WAS,DET
2026-02-05,0022500734,BKN,ORL
2026-02-05,0022500735,UTA,ATL
2026-02-05,0022500736,CHI,TOR
2026-02-05,0022500737,CHA,HOU
2026-02-05,0022500738,SAS,DAL
2026-02-05,0022500739,GSW,PHX
2026-02-05,0022500740,PHI,LAL
2026-02-06,0022500741,MIA,BOS
2026-02-06,0022500742,NYK,DET
2026-02-06,0022500743,IND,MIL
2026-02-06,0022500744,NOP,MIN
2026-02-06,0022500745,MEM,POR
2026-02-06,0022500746,LAC,SAC
2026-02-07,0022500747,WAS,BKN
2026-02-07,0022500748,HOU,OKC
2026-02-07,0022500749,DAL,SAS
2026-02-07,0022500750,UTA,ORL
2026-02-07,0022500751,CHA,ATL
2026-02-07,0022500752,DEN,CHI
2026-02-07,0022500753,GSW,LAL
2026-02-07,0022500754,PHI,PHX
2026-02-07,0022500755,MEM,POR
2026-02-07,0022500756,CLE,SAC
2026-02-08,0022500757,NYK,BOS
2026-02-08,0022500758,MIA,WAS
2026-02-08,0022500759,IND,TOR
2026-02-08,0022500760,LAC,MIN
2026-02-09,0022500761,DET,CHA
2026-02-09,0022500762,CHI,BKN
2026-02-09,0022500763,UTA,MIA
2026-02-09,0022500764,MIL,ORL
2026-02-09,0022500765,ATL,MIN
2026-02-09,0022500766,SAC,NOP
2026-02-09,0022500767,CLE,DEN
2026-02-09,0022500768,MEM,GSW
2026-02-09,0022500769,OKC,LAL
2026-02-09,0022500770,PHI,POR
2026-02-10,0022500771,IND,NYK
2026-02-10,0022500772,LAC,HOU
2026-02-10,0022500773,DAL,PHX
2026-02-10,0022500774,SAS,LAL
2026-02-11,0022500775,ATL,CHA
2026-02-11,0022500776,WAS,CLE
2026-02-11,0022500777,MIL,ORL
2026-02-11,0022500778,CHI,BOS
2026-02-11,0022500779,IND,BKN
2026-02-11,0022500780,NYK,PHI
2026-02-11,0022500781,DET,TOR
2026-02-11,0022500782,LAC,HOU
2026-02-11,0022500783,POR,MIN
2026-02-11,0022500784,MIA,NOP
2026-02-11,0022500785,OKC,PHX
2026-02-11,0022500786,SAC,UTA
2026-02-11,0022500787,MEM,DEN
2026-02-11,0022500788,SAS,GSW
2026-02-12,0022500789,MIL,OKC
2026-02-12,0022500790,POR,UTA
2026-02-12,0022500791,DAL,LAL
2026-02-19,0022500792,HOU,CHA
2026-02-19,0022500793,BKN,CLE
2026-02-19,0022500794,ATL,PHI
2026-02-19,0022500795,IND,WAS
2026-02-19,0022500796,DET,NYK
2026-02-19,0022500797,TOR,CHI
2026-02-19,0022500798,PHX,SAS
2026-02-19,0022500799,BOS,GSW
2026-02-19,0022500800,ORL,SAC
2026-02-19,0022500801,DEN,LAC
2026-02-20,0022500802,CLE,CHA
2026-02-20,0022500803,IND,WAS
2026-02-20,0022500804,UTA,MEM
2026-02-20,0022500805,MIA,ATL
2026-02-20,0022500806,DAL,MIN
2026-02-20,0022500807,MIL,NOP
2026-02-20,0022500808,BKN,OKC
2026-02-20,0022500809,LAC,LAL
2026-02-20,0022500810,DEN,POR
2026-02-21,0022500811,ORL,PHX
2026-02-21,0022500812,PHI,NOP
2026-02-21,0022500813,MEM,MIA
2026-02-21,0022500814,DET,CHI
2026-02-21,0022500815,SAC,SAS
2026-02-21,0022500816,HOU,NYK
2026-02-22,0022500817,CLE,OKC
2026-02-22,0022500818,BKN,ATL
2026-02-22,0022500819,TOR,MIL
2026-02-22,0022500820,DEN,GSW
2026-02-22,0022500821,DAL,IND
2026-02-22,0022500822,CHA,WAS
2026-02-22,0022500823,BOS,LAL
2026-02-22,0022500824,PHI,MIN
2026-02-22,0022500825,NYK,CHI
2026-02-22,0022500826,POR,PHX
2026-02-22,0022500827,ORL,LAC
2026-02-23,0022500828,SAS,DET
2026-02-23,0022500829,SAC,MEM
2026-02-23,0022500830,UTA,HOU
2026-02-24,0022500831,PHI,IND
2026-02-24,0022500832,WAS,ATL
2026-02-24,0022500833,DAL,BKN
2026-02-24,0022500834,OKC,TOR
2026-02-24,0022500835,NYK,CLE
2026-02-24,0022500836,CHA,CHI
2026-02-24,0022500837,MIA,MIL
2026-02-24,0022500838,GSW,NOP
2026-02-24,0022500839,BOS,PHX
2026-02-24,0022500840,ORL,LAL
2026-02-24,0022500841,MIN,POR
2026-02-25,0022500842,OKC,DET
2026-02-25,0022500843,SAS,TOR
2026-02-25,0022500844,GSW,MEM
2026-02-25,0022500845,SAC,HOU
2026-02-25,0022500846,CLE,MIL
2026-02-25,0022500847,BOS,DEN
2026-02-26,0022500848,CHA,IND
2026-02-26,0022500849,MIA,PHI
2026-02-26,0022500850,WAS,ATL
2026-02-26,0022500851,SAS,BKN
2026-02-26,0022500852,HOU,ORL
2026-02-26,0022500853,POR,CHI
2026-02-26,0022500854,SAC,DAL
2026-02-26,0022500855,LAL,PHX
2026-02-26,0022500856,NOP,UTA
2026-02-26,0022500857,MIN,LAC
2026-02-27,0022500858,CLE,DET
2026-02-27,0022500859,BKN,BOS
2026-02-27,0022500860,NYK,MIL
2026-02-27,0022500861,MEM,DAL
2026-02-27,0022500862,DEN,OKC
2026-02-28,0022500863,POR,CHA
2026-02-28,0022500864,HOU,MIA
2026-02-28,0022500865,TOR,WAS
